CD_STATION,CD_PARAMETRE,NBANASPERTS1,MA_MOY,NBQUANTIF,NORME_DCE,LB_PARAMETRE
06284X1014/D,1083,1,"0,025",0,"0,1",Chlorpyriphos-éthyl
06284X1014/D,1092,1,"0,025",0,"0,1",Prosulfocarbe
06284X1014/D,1094,1,"0,025",0,"0,1",Lambda-cyhalothrine
06284X1014/D,1101,1,"0,015",0,"0,1",Alachlore
06284X1014/D,1102,1,"0,025",0,"0,1",Aldicarbe
06284X1014/D,1103,1,"0,005",0,"0,03",Aldrine
06284X1014/D,1104,1,"0,0275",0,"0,1",Amétryne
06284X1014/D,1105,1,"0,05",0,"0,1",Aminotriazole
06284X1014/D,1107,1,"0,015",0,"0,1",Atrazine
06284X1014/D,1108,1,"0,02",0,"0,1",Atrazine déséthyl
06284X1014/D,1109,1,"0,01",0,"0,1",Atrazine déisopropyl
06284X1014/D,1113,1,"0,025",0,"0,1",Bentazone
06284X1014/D,1125,1,"0,025",0,"0,1",Bromoxynil
06284X1014/D,1129,1,"0,025",0,"0,1",Carbendazime
06284X1014/D,1130,1,"0,025",0,"0,1",Carbofuran
06284X1014/D,1133,1,"0,04",0,"0,1",Chloridazone
06284X1014/D,1136,1,"0,025",0,"0,1",Chlortoluron
06284X1014/D,1137,1,"0,01",0,"0,1",Cyanazine
06284X1014/D,1139,1,"0,025",0,"0,1",Cymoxanil
06284X1014/D,1140,1,"0,05",0,"0,1",Cyperméthrine
06284X1014/D,1141,1,"0,025",0,"0,1","2,4-D"
06284X1014/D,1142,1,"0,025",0,"0,1","2,4-DB"
06284X1014/D,1146,1,"0,005",0,"0,1",DDE 44'
06284X1014/D,1147,1,"0,005",0,"0,1",DDT 24'
06284X1014/D,1148,1,"0,01",0,"0,1",DDT 44'
06284X1014/D,1149,1,"0,05",0,"0,1",Deltaméthrine
06284X1014/D,1155,1,"0,01",0,"0,1",Desmétryne
06284X1014/D,1157,1,"0,01",0,"0,1",Diazinon
06284X1014/D,1169,1,"0,025",0,"0,1",Dichlorprop
06284X1014/D,1170,1,"0,005",0,"0,1",Dichlorvos
06284X1014/D,1173,1,"0,005",0,"0,03",Dieldrine
06284X1014/D,1175,1,"0,01",0,"0,1",Diméthoate
06284X1014/D,1176,1,"0,025",0,"0,1",Dinoterbe
06284X1014/D,1177,1,"0,025",0,"0,1",Diuron
06284X1014/D,1178,1,"0,01",0,"0,1",Endosulfan alpha
06284X1014/D,1179,1,"0,025",0,"0,1",Endosulfan bêta
06284X1014/D,1181,1,"0,01",0,"0,1",Endrine
06284X1014/D,1184,1,"0,0175",0,"0,1",Ethofumésate
06284X1014/D,1187,1,"0,01",0,"0,1",Fénitrothion
06284X1014/D,1189,1,"0,01",0,"0,1",Fenpropimorphe
06284X1014/D,1190,1,"0,005",0,"0,1",Fenthion
06284X1014/D,1192,1,"0,05",0,"0,1",Folpel
06284X1014/D,1194,1,"0,025",0,"0,1",Flusilazole
06284X1014/D,1197,1,"0,01",0,"0,03",Heptachlore
06284X1014/D,1200,1,"0,01",0,"0,1",Hexachlorocyclohexane alpha
06284X1014/D,1201,1,"0,005",0,"0,1",Hexachlorocyclohexane bêta
06284X1014/D,1202,1,"0,0175",0,"0,1",Hexachlorocyclohexane delta
06284X1014/D,1203,1,"0,01",0,"0,1",Hexachlorocyclohexane gamma
06284X1014/D,1205,1,"0,025",0,"0,1",Ioxynil
