Cd Comite;Cd Etat;CD_STATION;Cd Type Pe;Code;Géométrie;Lb Comite;Lb Etat;Lb Type Pe;Necessaire;NID;NOM;Nombre d'enregistrements;Type;VID;lat;long
FR000003;4MO;02207X0029/F;1;SAGE03019;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59095;Yerres;1;sage;134395;48,645988444;2,764929877
FR000002;4MO;01145X0146/F-P5;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,328055865;6,154658216
FR000004;4MO;02504X0007/F2;1;SAGE04027;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59109;Sarthe amont;1;sage;134595;48,547419685;-0,025613125
FR000006;4MO;06754X0059/P;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;46,060623187;5,384679460
FR000001;4MO;00385X0021/P1;1;SAGE01010;POLYGON;Artois-Picardie;Mis en oeuvre;Périmètre à dominante eau de surface;0;59167;Sambre;1;sage;130906;50,030350192;3,658711928
FR000003;4MO;02133X0012/F-AEP9;1;SAGE03021;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59127;Orne amont;1;sage;134378;48,728361595;0,226391547
FR000005;3EL;10841X0019/HY;1;SAGE05004;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;59101;Neste-Ourse;1;sage;134373;42,781898743;0,391543345
FR000003;5REV1;01038X0211/P5;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,351790558;2,514359276
FR000002;4MO;01381X0086/P13;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,317305123;6,147285248
FR000005;3EL;08072X0011/F;1;SAGE05027;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;0;95934;Dordogne Atlantique;1;sage;134358;44,928114698;0,800824782
FR000004;4MO;02887X0002/P1;1;SAGE04019;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59130;Huisne;1;sage;134270;48,286208705;0,611336738
FR000002;4MO;01381X0099/P12;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,321437553;6,142886314
FR000004;4MO;05735X0004/P1AEP;1;SAGE04036;MULTIPOLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59141;Cher amont;1;sage;130988;46,699990628;2,510969038
FR000003;4MO;02217X0009/F1;1;SAGE03019;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59095;Yerres;1;sage;134395;48,625875317;3,089109016
FR000005;3EL;07577X0022/F;1;SAGE05018;POLYGON;Adour-Garonne;Élaboration;Périmètre à dominante eau de surface;1;59075;Isle - Dronne;1;sage;140670;45,243655940;0,173378091
FR000003;5REV1;01047X0239/P1;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,360878853;2,765350701
FR000002;4MO;01138X0184/G14BIS;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,347561149;6,031991624
FR000004;4MO;02407X0027/PUITS;1;SAGE04014;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59123;Aulne;1;sage;135643;48,410397177;-3,667402356
FR000006;4MO;06758X0052/HY;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,971237640;5,364695114
FR000003;5REV1;01047X0240/P2;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,357141523;2,766611728
FR000002;4MO;01137X0151/S;2;SAGE02003;POLYGON;Rhin-Meuse;Mis en oeuvre;Périmètre à dominante eau souterraine;0;59114;Bassin ferrifère;1;sage;130943;49,342151473;5,985362837
FR000003;4MO;02212X0020/F;1;SAGE03019;POLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59095;Yerres;1;sage;134395;48,748030107;2,978143503
FR000003;5REV1;01047X0091/P;1;SAGE03013;MULTIPOLYGON;Seine-Normandie;Première révision;Périmètre à dominante eau de surface;1;59088;Oise-Aronde;1;sage;136697;49,352284620;2,773473737
FR000004;4MO;04257X0032/F;1;SAGE04031;POLYGON;Loire-Bretagne;Mis en oeuvre;Périmètre à dominante eau de surface;0;59138;Loir;1;sage;135115;47,572498765;0,265051249
FR000006;4MO;06754X0040/007A;1;SAGE06004;POLYGON;Rhône-Méditerranée;Mis en oeuvre;Périmètre à dominante eau de surface;0;59072;Basse vallée de l'Ain;1;sage;136425;45,999431835;5,331441481
FR000003;4MO;01543X0029/P;1;SAGE03012;MULTIPOLYGON;Seine-Normandie;Mis en oeuvre;Périmètre à dominante eau de surface;1;59087;Nonette;1;sage;134374;49,096916884;2,731946695
FR000005;4MO;10066X0013/F;1;SAGE05012;POLYGON;Adour-Garonne;Mis en oeuvre;Périmètre à dominante eau de surface;1;59107;Adour amont;1;sage;136292;43,437568206;0,091063602
